player_name,team,position,actual_rating,predicted_rating,rating_difference
Anthony Losilla,Bochum,Midfielder,1.8035544626885551,1.2186733769860616,-0.5848810857024935
Nathan Ngoumou Minpole,Borussia Mönchengladbach,Forward,1.1279791488277857,1.218246622989632,0.09026747416184633
Moritz Broschinski,Bochum,Forward,0.9490400359115094,1.2108953261909488,0.2618552902794393
Ian Maatsen,Borussia Dortmund,Defender,1.139908423022204,1.204020020045221,0.06411159702301683
Faride Alidou,FC Köln,Forward,1.0895403764235485,1.1940216903960708,0.10448131397252225
Kevin Paredes,Wolfsburg,Defender,1.1531631721271134,1.1925471848296612,0.039384012702547766
Fabio Torsiello,Darmstadt 98,Midfielder,1.3029418370125894,1.1811295200990355,-0.12181231691355388
Lukas Kübler,Freiburg,Defender,1.2205744491800539,1.170047920667685,-0.05052652851236883
Kevin Trapp,Eintracht Frankfurt,Goalkeeper,1.1531631721271136,1.166546830483521,0.013383658356407313
Cédric Zesiger,Wolfsburg,Defender,1.0620729787035168,1.1583718576734257,0.09629887896990885
Marvin Schwäbe,FC Köln,Goalkeeper,1.1332810484697493,1.1471632101055758,0.013882161635826451
Silvan Widmer,FSV Mainz 05,Defender,1.1531631721271134,1.1470597053308922,-0.006103466796221202
Tiago Barreiros de Melo Tomás,Wolfsburg,Forward,1.1500615903283815,1.1377886058230866,-0.012272984505294904
Sven Ulreich,Bayern Munich,Goalkeeper,0.9941061828682013,1.1344327477237617,0.1403265648555604
Christoph Zimmermann,Darmstadt 98,Defender,1.280083515849757,1.1342037013664596,-0.14587981448329734
Pavao Pervan,Wolfsburg,Goalkeeper,1.0736346774976573,1.133534483689116,0.05989980619145863
Philipp Förster,Bochum,Midfielder,1.183649095068405,1.1294346758325766,-0.05421441923582848
Jonas Omlin,Borussia Mönchengladbach,Goalkeeper,1.1929274194418416,1.122982600176796,-0.06994481926504559
Tim Breithaupt,Augsburg,Midfielder,1.4792300001078833,1.1215657606074863,-0.35766423950039705
Thomas Müller,Bayern Munich,Forward,1.1929274194418416,1.1194696304374574,-0.07345778900438416
Arthur Augusto de Matos Soares,Bayer Leverkusen,Defender,1.0939838155254942,1.1148276687091012,0.020843853183607042
Brenden Aaronson,Union Berlin,Forward,0.7369640502329599,1.1004512345478503,0.36348718431489047
Ritsu Doan,Freiburg,Defender,0.9981865653921888,1.0929065329839198,0.09471996759173107
Sebastiaan Bornauw,Wolfsburg,Defender,1.0736346774976573,1.0780667896579883,0.004432112160331014
Frederik Rønnow,Union Berlin,Goalkeeper,1.0736346774976573,1.0753777558787412,0.0017430783810838957
Roland Sallai,Freiburg,Forward,1.0544212837676092,1.069723990783466,0.015302707015856676
Vincenzo Grifo,Freiburg,Forward,1.1902764696208599,1.0685827504355103,-0.12169371918534955
